index_batch,radar_mask_len,radar_OI,box_present,cls_labels_len
273,4204,0,2,1451
273,4995,1,2,1513
273,8524,2,2,1001
273,5071,4,1,665
273,7855,6,2,1513
273,7651,7,2,1513
273,6708,8,2,1513
273,2214,9,2,273
274,4040,0,2,1236
274,8468,1,2,1050
274,5136,3,1,679
274,3219,5,1,679
274,6460,7,2,1394
274,4783,9,2,915
274,8398,10,2,1394
275,4143,0,2,1189
275,5585,1,2,1386
275,8683,2,2,1056
275,5251,4,1,622
275,3348,6,1,622
275,8672,7,2,1386
275,8786,8,2,1386
276,4132,0,2,1134
276,5606,1,2,1398
276,6160,2,2,1113
276,5090,4,1,624
276,3430,6,1,624
276,7235,9,2,1398
276,8850,10,2,1398
276,9312,11,2,1398
277,4357,0,2,1126
277,8537,1,2,1031
277,5062,2,2,648
277,3283,6,1,573
277,4370,7,2,502
277,9233,8,2,1335
277,8798,9,2,1335
277,2655,10,2,115
277,7285,11,2,1335
278,4507,0,2,988
278,8709,1,2,985
278,5194,2,2,674
278,4601,5,1,501
278,3446,7,1,501
278,9249,10,2,1311
278,9028,11,2,1311
279,4270,0,2,966
279,5737,1,2,1413
279,8791,2,2,1090
279,4812,4,1,465
279,4482,6,2,391
279,9825,8,2,1414
279,9875,9,2,1414
280,4138,0,2,871
280,8338,1,2,896
280,5380,2,2,683
280,4872,5,1,498
280,3246,7,1,498
280,8075,8,2,1410
280,3147,9,2,56
280,9789,11,2,1410
281,3824,0,2,695
281,5441,1,2,697
281,4600,4,1,511
281,3252,6,1,511
281,10018,8,2,1438
281,8176,9,2,1438
281,10619,10,2,1438
281,5711,11,2,813
281,3661,13,1,511
282,3168,0,2,334
282,8417,1,2,1151
282,5519,2,2,730
282,4423,6,1,495
282,8694,8,2,1506
282,10044,12,2,1506
282,3746,14,1,502
283,3518,0,2,362
283,5675,1,2,1204
283,8533,2,2,920
283,4348,5,1,441
283,8787,7,2,1433
283,10878,8,2,1433
283,8811,10,2,1433
284,3462,0,2,194
284,5626,1,2,1018
284,8405,2,2,1003
284,5734,3,2,638
284,4432,6,1,349
284,3403,8,1,411
284,10344,10,2,1312
284,3711,11,2,16
284,9350,12,2,1312
284,6452,13,2,785
285,3179,0,2,59
285,4734,1,2,692
285,8432,2,2,861
285,4364,4,1,354
285,3226,6,1,412
285,10831,11,2,1294
285,9513,13,2,1294
286,4722,1,2,499
286,8464,2,2,995
286,4338,5,1,351
286,3066,7,1,421
286,11108,11,2,1270
286,10240,13,2,1270
290,8301,1,1,878
290,6056,2,1,322
290,12211,8,1,1285
290,10799,9,1,1285
290,12349,14,1,1285
291,8435,1,1,1075
291,6118,2,1,307
291,12538,7,1,1294
291,11170,9,1,1294
292,8054,1,1,1321
292,12473,5,1,1625
292,11086,7,1,1625
292,12418,10,1,1625
293,8097,1,1,1294
293,11365,7,1,1609
293,12714,10,1,1609
293,12651,11,1,1609
294,7957,1,1,1059
294,11466,5,1,1552
294,12723,10,1,1552
295,8047,1,1,1260
295,12984,12,1,1552
295,12921,13,1,1552
295,11735,15,1,1552
296,7980,1,1,1222
296,4554,2,1,8
296,4736,3,1,26
296,12746,5,1,1494
296,11134,7,1,1494
296,7964,8,1,626
297,8126,1,1,1255
297,4621,2,1,16
297,5039,3,1,75
297,12845,6,1,1549
297,12787,7,1,1549
297,11178,8,1,1549
297,7801,10,1,581
298,7936,1,1,1049
298,4636,3,1,39
298,4981,4,1,189
298,12895,7,1,1420
298,12731,8,1,1420
299,7799,0,1,844
299,5174,1,1,323
299,12603,6,1,1472
299,10729,7,1,1472
299,8855,8,1,1472
299,10561,9,1,1472
300,7849,1,1,1009
300,5388,3,1,390
300,12574,7,1,1467
301,7699,1,1,884
301,4666,2,1,131
301,5449,3,1,539
301,12337,6,1,1427
301,10645,7,1,1427
302,7499,1,1,715
302,3607,2,1,402
302,12148,5,1,1338
302,10386,6,1,1338
303,7448,1,1,379
303,4593,2,1,203
303,10737,4,1,1289
303,6995,5,1,1289
303,12244,7,1,1289
303,10677,8,1,1289
303,6955,9,1,1289
303,7789,10,1,691
305,7175,1,1,370
305,3771,3,1,586
305,5867,4,1,946
305,8768,8,1,1250
305,11734,10,1,1250
305,10344,11,1,1250
308,376,8,1,155
311,1097,0,1,561
311,2,8,1,2
312,1118,1,1,541
312,162,8,1,162
312,328,10,1,269
313,25,0,1,14
313,85,2,1,85
313,971,4,1,872
313,666,6,1,552
314,1350,1,1,695
314,1420,2,1,695
314,299,4,1,299
314,619,6,1,462
314,863,8,1,551
315,1565,1,1,1070
315,685,8,1,678
315,1270,10,1,1052
316,563,2,1,546
316,1189,4,1,680
316,1290,6,1,640
317,1985,0,1,1281
317,312,4,1,312
317,1542,6,1,1281
317,483,8,1,404
318,2181,0,1,1017
318,310,4,1,310
318,1258,6,1,1017
318,1767,8,1,1017
318,1846,10,1,1017
318,1428,12,1,729
319,2400,1,1,1296
319,36,4,1,7
319,1399,6,1,1310
319,1868,8,1,1338
319,1922,10,1,1338
319,1280,12,1,615
320,2353,0,1,1126
320,55,4,1,18
320,601,6,1,601
320,1368,8,1,1144
